ID,Name,Country,Africa Region,State/Province/Region,City,Niche,Bio / Focus,Primary Platform,Primary Handle,Instagram Handle,Instagram Followers,TikTok Handle,TikTok Followers,YouTube Handle,YouTube Subscribers,Other Socials,Combined Audience Proxy,Average Views / Reach Metric,Engagement Rate,Starting Price,Currency,Pricing Status,Avatar / Profile Image URL,Cover URL,Primary Profile URL,Source URL,Source Updated,Notes
AFR-015,Nathnael Takele,Ethiopia,East Africa,Addis Ababa,Addis Ababa,Food / restaurant reviews,Creator focused on food / restaurant reviews.,Instagram,@natitakele116,@natitakele116,"13,400",,,,,,"13,400",,,,ETB,Request quote / not publicly verified,https://unavatar.io/instagram/natitakele116,,https://www.instagram.com/natitakele116/,https://influencers.feedspot.com/ethiopian_food_instagram_influencers/,2026-07-27,Food vlogger and restaurant reviewer.
AFR-016,Stoetzner Sinja,Kenya,East Africa,,,Travel,Creator focused on travel.,Instagram,@travelwithsinja,@travelwithsinja,"121,300",,,,,,"121,300",,,,KES,Request quote / not publicly verified,https://unavatar.io/instagram/travelwithsinja,,https://www.instagram.com/travelwithsinja/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,Travel creator sharing Kenya hidden gems.
AFR-017,Qamili,Kenya,East Africa,Mombasa,Mombasa,Food / travel,Creator focused on food / travel.,Instagram,@chaqula_,@chaqula_,"54,100",,,,,,"54,100",,,,KES,Request quote / not publicly verified,https://unavatar.io/instagram/chaqula_,,https://www.instagram.com/chaqula_/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-07-27,East Africa food and travel creator.
AFR-018,Nabilah Omar,Kenya,East Africa,,,Travel / lifestyle / style,Creator focused on travel / lifestyle / style.,Instagram,@queen.nabilah,@queen.nabilah,"38,500",,,,,,"38,500",,,,KES,Request quote / not publicly verified,https://unavatar.io/instagram/queen.nabilah,,https://www.instagram.com/queen.nabilah/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,Travel and lifestyle creator.
AFR-019,Adam Maina,Kenya,East Africa,Nairobi City,Nairobi,Travel / lifestyle,Creator focused on travel / lifestyle.,Instagram,@adammaina,@adammaina,"122,800",,,,,,"122,800",,,,KES,Request quote / not publicly verified,https://unavatar.io/instagram/adammaina,,https://www.instagram.com/adammaina/,https://influencers.feedspot.com/kenya_instagram_influencers/,2026-08-19,Travel and lifestyle influencer.
AFR-020,Juliet Kane,Kenya,East Africa,,,Food,Creator focused on food.,Instagram,@kanes_kitchenaffair,@kanes_kitchenaffair,"118,500",,,,,,"118,500",,,,KES,Request quote / not publicly verified,https://unavatar.io/instagram/kanes_kitchenaffair,,https://www.instagram.com/kanes_kitchenaffair/,https://influencers.feedspot.com/kenya_instagram_influencers/,2026-08-19,Creative food creator; source also references YouTube.
AFR-021,Hope Chebet,Kenya,East Africa,,,Food / hotels / travel,Creator focused on food / hotels / travel.,Instagram,@kenyanfoodie_x,@kenyanfoodie_x,"107,000",,,,,,"107,000",,,,KES,Request quote / not publicly verified,https://unavatar.io/instagram/kenyanfoodie_x,,https://www.instagram.com/kenyanfoodie_x/,https://influencers.feedspot.com/kenya_instagram_influencers/,2026-08-19,"Food, hotel, travel and lifestyle creator."
AFR-022,Najma Ali,Kenya,East Africa,Mombasa,Mombasa,Modest fashion / beauty / lifestyle,Creator focused on modest fashion / beauty / lifestyle.,Instagram,@_najmaali_,@_najmaali_,"54,500",,,,,,"54,500",,,,KES,Request quote / not publicly verified,https://unavatar.io/instagram/_najmaali_,,https://www.instagram.com/_najmaali_/,https://influencers.feedspot.com/kenya_instagram_influencers/,2026-08-19,"Modest fashion, beauty and lifestyle creator."
AFR-023,Rhotimmi,Kenya,East Africa,,,Fitness / movement,Creator focused on fitness / movement.,Instagram,@rhotimmi,@rhotimmi,"47,400",,,,,,"47,400",,,,KES,Request quote / not publicly verified,https://unavatar.io/instagram/rhotimmi,,https://www.instagram.com/rhotimmi/,https://influencers.feedspot.com/kenya_instagram_influencers/,2026-08-19,Fitness and movement creator.
AFR-024,Monicah Wangari,Kenya,East Africa,,,Travel / adventure,Creator focused on travel / adventure.,Instagram,@_themkare,@_themkare,"20,400",,,,,,"20,400",,,,KES,Request quote / not publicly verified,https://unavatar.io/instagram/_themkare,,https://www.instagram.com/_themkare/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,Adventure storyteller and travel creator.
AFR-025,Abigal Njeri,Kenya,East Africa,,,Travel / lifestyle,Creator focused on travel / lifestyle.,Instagram,@abigalabby,@abigalabby,"12,900",,,,,,"12,900",,,,KES,Request quote / not publicly verified,https://unavatar.io/instagram/abigalabby,,https://www.instagram.com/abigalabby/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,Travel and lifestyle creator.
AFR-026,Ess Opiyo,Kenya,East Africa,,,Travel / lifestyle,Creator focused on travel / lifestyle.,Instagram,@ess_opiyo,@ess_opiyo,"10,600",,,,,,"10,600",,,,KES,Request quote / not publicly verified,https://unavatar.io/instagram/ess_opiyo,,https://www.instagram.com/ess_opiyo/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,Kenya-focused travel/lifestyle creator.
AFR-027,Fatma M,Kenya,East Africa,Mombasa,Mombasa,Travel / food / lifestyle,Creator focused on travel / food / lifestyle.,Instagram,@pearlsandcinnamon,@pearlsandcinnamon,"23,200",,,,,,"23,200",,,,KES,Request quote / not publicly verified,https://unavatar.io/instagram/pearlsandcinnamon,,https://www.instagram.com/pearlsandcinnamon/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,"Mombasa travel, food and lifestyle creator."
AFR-028,Ceccy,Kenya,East Africa,,,Travel / food,Creator focused on travel / food.,Instagram,@travelwithceccy,@travelwithceccy,"12,500",,,,,,"12,500",,,,KES,Request quote / not publicly verified,https://unavatar.io/instagram/travelwithceccy,,https://www.instagram.com/travelwithceccy/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,Travel and food creator.
AFR-029,Omotolani Tayo-Osikoya,Nigeria,West Africa,Lagos,Lagos,Food / lifestyle,Creator focused on food / lifestyle.,Instagram,@diaryofakitchenlover,@diaryofakitchenlover,"2,300,000",,,,,,"2,300,000",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/diaryofakitchenlover,,https://www.instagram.com/diaryofakitchenlover/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,African food/lifestyle creator.
AFR-030,Ify Mogekwu,Nigeria,West Africa,,,Food,Creator focused on food.,Instagram,@ifys.kitchen,@ifys.kitchen,"2,100,000",,,,"800,000",,"2,900,000",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/ifys.kitchen,,https://www.instagram.com/ifys.kitchen/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Source bio reports 800K+ YouTube subscribers and 150M+ views; exact YT handle not exposed.
AFR-031,Hadiza Ibrahim Ango,Nigeria,West Africa,Federal Capital Territory,Abuja,Food,Creator focused on food.,Instagram,@chefamors,@chefamors,"1,200,000",,,,,,"1,200,000",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/chefamors,,https://www.instagram.com/chefamors/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Source also reports 1.8M+ Facebook followers and 140M YouTube views; views are not added to audience proxy.
AFR-032,Adepoju Grace,Nigeria,West Africa,Lagos,Lagos,Food,Creator focused on food.,Instagram,@velvetyfoodies,@velvetyfoodies,"780,900",,,,,,"780,900",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/velvetyfoodies,,https://www.instagram.com/velvetyfoodies/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food and recipe creator.
AFR-033,Bukie Akinmade,Nigeria,West Africa,,,Food,Creator focused on food.,Instagram,@thekitchenmuse,@thekitchenmuse,"760,300",,,,,,"760,300",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/thekitchenmuse,,https://www.instagram.com/thekitchenmuse/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food creator behind The Kitchen Muse.
AFR-034,Omoye Isabota,Nigeria,West Africa,,,Food,Creator focused on food.,Instagram,@omoyecooks,@omoyecooks,"692,400",,,,,,"692,400",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/omoyecooks,,https://www.instagram.com/omoyecooks/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food creator.
AFR-035,Faith Temitayo Oyebanjo,Nigeria,West Africa,,,Food,Creator focused on food.,Instagram,@cheftemmie,@cheftemmie,"436,100",,,,,,"436,100",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/cheftemmie,,https://www.instagram.com/cheftemmie/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Recipe and food creator.
AFR-036,Maryam Saidu Ibrahim,Nigeria,West Africa,Katsina,Katsina,Food,Creator focused on food.,Instagram,@chef.maah,@chef.maah,"434,500",,,,,,"434,500",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/chef.maah,,https://www.instagram.com/chef.maah/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food creator.
AFR-037,Daniel Ochuko,Nigeria,West Africa,Lagos,Lagos,Food / lifestyle,Creator focused on food / lifestyle.,Instagram,@danielochuko_,@danielochuko_,"304,000",,,,,,"304,000",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/danielochuko_,,https://www.instagram.com/danielochuko_/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food-focused digital creator.
AFR-038,Jemimah Abisola,Nigeria,West Africa,Federal Capital Territory,Abuja,Food / restaurant discovery,Creator focused on food / restaurant discovery.,Instagram,@abujafoodplug,@abujafoodplug,"226,500",,,,,,"226,500",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/abujafoodplug,,https://www.instagram.com/abujafoodplug/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Abuja food discovery creator.
AFR-039,Koko Osakwe,Nigeria,West Africa,Rivers,Port Harcourt,Food,Creator focused on food.,Instagram,@chefnshopper,@chefnshopper,"215,300",,,,,,"215,300",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/chefnshopper,,https://www.instagram.com/chefnshopper/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food creator.
AFR-040,Gaz Azah,Nigeria,West Africa,,,Food,Creator focused on food.,Instagram,@gazkitchen_,@gazkitchen_,"164,100",,,,,,"164,100",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/gazkitchen_,,https://www.instagram.com/gazkitchen_/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Recipe creator.
AFR-041,Addie Ene-Ita,Nigeria,West Africa,,,Food,Creator focused on food.,Instagram,@thecorianderkitchen_ng,@thecorianderkitchen_ng,"96,300",,,,,,"96,300",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/thecorianderkitchen_ng,,https://www.instagram.com/thecorianderkitchen_ng/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food creator.
AFR-042,Cynthia (Your Food Girl),Nigeria,West Africa,Lagos,Lagos,Food / restaurant discovery,Creator focused on food / restaurant discovery.,Instagram,@yourfoodgirl_,@yourfoodgirl_,"82,400",,,,,,"82,400",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/yourfoodgirl_,,https://www.instagram.com/yourfoodgirl_/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Lagos dining discovery creator.
AFR-043,Tai (Foodie in Lagos),Nigeria,West Africa,Lagos,Lagos,Food / travel,Creator focused on food / travel.,Instagram,@foodieinlagos,@foodieinlagos,"72,900",,,,,,"72,900",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/foodieinlagos,,https://www.instagram.com/foodieinlagos/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food/travel creator.
AFR-044,Christiana Kayode,Nigeria,West Africa,,,Travel / fashion / lifestyle,Creator focused on travel / fashion / lifestyle.,Instagram,@berbiedoll,@berbiedoll,"815,600",,,,,,"815,600",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/berbiedoll,,https://www.instagram.com/berbiedoll/,https://influencers.feedspot.com/nigeria_travel_instagram_influencers/,2026-08-19,"Travel, fashion and lifestyle creator."
AFR-045,Zim,Nigeria,West Africa,,,Travel / photography,Creator focused on travel / photography.,Instagram,@zimeee,@zimeee,"528,100",,,,,,"528,100",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/zimeee,,https://www.instagram.com/zimeee/,https://influencers.feedspot.com/nigeria_travel_instagram_influencers/,2026-08-19,Travel curator and photographer.
AFR-046,Pelumi Nubi,Nigeria,West Africa,Lagos,Lagos,Travel / adventure,Creator focused on travel / adventure.,Instagram,@pelumi.nubi,@pelumi.nubi,"282,600",,,,,,"282,600",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/pelumi.nubi,,https://www.instagram.com/pelumi.nubi/,https://influencers.feedspot.com/nigeria_travel_instagram_influencers/,2026-08-19,Road-trip and destination storyteller.
AFR-047,Tosin Oyewole,Nigeria,West Africa,Lagos,Lagos,Travel / destination storytelling,Creator focused on travel / destination storytelling.,Instagram,@tosinoyewole,@tosinoyewole,"148,300",,,,,,"148,300",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/tosinoyewole,,https://www.instagram.com/tosinoyewole/,https://influencers.feedspot.com/nigeria_travel_instagram_influencers/,2026-08-19,Destination storyteller.
AFR-048,Adenike Tejuoso,Nigeria,West Africa,,,Travel,Creator focused on travel.,Instagram,@adenikair,@adenikair,"124,500",,,,,,"124,500",,,,NGN,Request quote / not publicly verified,https://unavatar.io/instagram/adenikair,,https://www.instagram.com/adenikair/,https://influencers.feedspot.com/nigeria_travel_instagram_influencers/,2026-08-19,Travel creator.
AFR-049,Grace Mondlana,South Africa,Southern Africa,,,Food / lifestyle,Creator focused on food / lifestyle.,Instagram,@grace._mondlana,@grace._mondlana,"810,100",,,,,,"810,100",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/grace._mondlana,,https://www.instagram.com/grace._mondlana/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Multi-award-winning food/lifestyle content creator.
AFR-050,Tokologo Hlongwane,South Africa,Southern Africa,,,Food / catering,Creator focused on food / catering.,Instagram,@catering_bae,@catering_bae,"478,000",,,,,,"478,000",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/catering_bae,,https://www.instagram.com/catering_bae/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food/catering creator.
AFR-051,Neo Nontso,South Africa,Southern Africa,,,Food,Creator focused on food.,Instagram,@dinewithneo,@dinewithneo,"415,700",,,,,,"415,700",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/dinewithneo,,https://www.instagram.com/dinewithneo/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food creator.
AFR-052,Zanele Mvelase,South Africa,Southern Africa,,,Food / hospitality,Creator focused on food / hospitality.,Instagram,@zee_thecook,@zee_thecook,"398,300",,,,,,"398,300",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/zee_thecook,,https://www.instagram.com/zee_thecook/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food creator.
AFR-053,Rohann Chetty,South Africa,Southern Africa,,,Food / family lifestyle,Creator focused on food / family lifestyle.,Instagram,@thisbrownmom,@thisbrownmom,"377,700",,,,,,"377,700",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/thisbrownmom,,https://www.instagram.com/thisbrownmom/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food/family creator.
AFR-054,Sinoyolo Sifo,South Africa,Southern Africa,KwaZulu-Natal,Durban,Food / lifestyle,Creator focused on food / lifestyle.,Instagram,@sifo_the_cooking_husband,@sifo_the_cooking_husband,"305,200",,,,,,"305,200",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/sifo_the_cooking_husband,,https://www.instagram.com/sifo_the_cooking_husband/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food/lifestyle creator.
AFR-055,Thilivhali Mash Mugwena,South Africa,Southern Africa,,,Food,Creator focused on food.,Instagram,@meals_with_mash_,@meals_with_mash_,"301,800",,,,,,"301,800",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/meals_with_mash_,,https://www.instagram.com/meals_with_mash_/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food creator; profile references Cape Town/Johannesburg.
AFR-056,Onezwa Mbola,South Africa,Southern Africa,,,Food / sustainable living,Creator focused on food / sustainable living.,Instagram,@onezwambola,@onezwambola,"273,000",,,,,,"273,000",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/onezwambola,,https://www.instagram.com/onezwambola/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food and ingredient-driven living creator.
AFR-057,Pearl Sechele,South Africa,Southern Africa,,,Food,Creator focused on food.,Instagram,@theeprettychef,@theeprettychef,"268,500",,,,,,"268,500",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/theeprettychef,,https://www.instagram.com/theeprettychef/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food creator.
AFR-058,Nthabi,South Africa,Southern Africa,,,Food,Creator focused on food.,Instagram,@cooking_with_nthabi,@cooking_with_nthabi,"268,100",,,,,,"268,100",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/cooking_with_nthabi,,https://www.instagram.com/cooking_with_nthabi/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Recipe creator.
AFR-059,Thembeka Sibanyoni,South Africa,Southern Africa,,,Food,Creator focused on food.,Instagram,@tees_cooking_addiction,@tees_cooking_addiction,"252,400",,,,,,"252,400",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/tees_cooking_addiction,,https://www.instagram.com/tees_cooking_addiction/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Cooking creator.
AFR-060,Tumi M,South Africa,Southern Africa,Gauteng,Johannesburg,Food,Creator focused on food.,Instagram,@mealswithtumi,@mealswithtumi,"180,700",,,,,,"180,700",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/mealswithtumi,,https://www.instagram.com/mealswithtumi/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food creator.
AFR-061,Luyanda Mafanya,South Africa,Southern Africa,Gauteng,Johannesburg,Food,Creator focused on food.,Instagram,@cookingwithluyanda,@cookingwithluyanda,"152,800",,,,,,"152,800",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/cookingwithluyanda,,https://www.instagram.com/cookingwithluyanda/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food creator.
AFR-062,Carlinn Meyer,South Africa,Southern Africa,Western Cape,Cape Town,Travel / hotels,Creator focused on travel / hotels.,Instagram,@campsbaygirl,@campsbaygirl,"319,800",,,,,,"319,800",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/campsbaygirl,,https://www.instagram.com/campsbaygirl/,https://influencers.feedspot.com/south_african_travel_instagram_influencers/,2026-08-19,Travel/hotel creator.
AFR-063,Michael Eloff,South Africa,Southern Africa,,,Travel / lifestyle,Creator focused on travel / lifestyle.,Instagram,@lifeofmikeza,@lifeofmikeza,"101,200",,,,,,"101,200",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/lifeofmikeza,,https://www.instagram.com/lifeofmikeza/,https://influencers.feedspot.com/south_african_travel_instagram_influencers/,2026-08-19,Travel/lifestyle creator.
AFR-064,Chelsea Knipp,South Africa,Southern Africa,Western Cape,Cape Town,Travel / food / experiences,Creator focused on travel / food / experiences.,Instagram,@travel.drink.eat.play,@travel.drink.eat.play,"92,000",,,,,,"92,000",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/travel.drink.eat.play,,https://www.instagram.com/travel.drink.eat.play/,https://influencers.feedspot.com/south_african_travel_instagram_influencers/,2026-08-19,Travel/food experiences creator.
AFR-065,Shiv Sewlal,South Africa,Southern Africa,Western Cape,Cape Town,Beauty / lifestyle / wellness,Creator focused on beauty / lifestyle / wellness.,Instagram,@shivaika,@shivaika,"337,700",,,,,,"337,700",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/shivaika,,https://www.instagram.com/shivaika/,https://influencers.feedspot.com/african_beauty_instagram_influencers/,2026-08-19,Beauty/lifestyle creator.
AFR-066,Solina Naidoo,South Africa,Southern Africa,KwaZulu-Natal,Durban,Food / lifestyle,Creator focused on food / lifestyle.,Instagram,@perimas_kitchen,@perimas_kitchen,"37,400",,"220,000",,,,"257,400",,,,ZAR,Request quote / not publicly verified,https://unavatar.io/instagram/perimas_kitchen,,https://www.instagram.com/perimas_kitchen/,https://influencers.feedspot.com/south__african_lifestyle_instagram_influencers/,2026-08-19,Source bio reports 220K TikTok followers but exact TikTok handle is not exposed.
AFR-067,Chef Abbys,Ghana,West Africa,,,Food,Creator focused on food.,Instagram,@chefabbys,@chefabbys,"703,000",,,,,,"703,000",,,,GHS,Request quote / not publicly verified,https://unavatar.io/instagram/chefabbys,,https://www.instagram.com/chefabbys/,https://influencers.feedspot.com/african_food_instagram_influencers/,2026-08-19,African food creator.
