Name,Country,State/Province/Region,City,Bio / Focus,Primary Platform,Primary Handle,Instagram Handle,Instagram Followers,TikTok Handle,TikTok Followers,YouTube Handle,YouTube Subscribers,Other Socials,Combined Audience Proxy,Average Views / Reach Metric,Engagement Rate,Starting Price,Currency,Pricing Status,Avatar URL,Cover URL,Primary Profile URL,Source URL,Source Updated,Notes
Juliet Kane,Kenya,,,Creator focused on food.,Instagram,@kanes_kitchenaffair,@kanes_kitchenaffair,"118,500",,,,,,"118,500",,,,KES,Request quote / not publicly verified,,,https://www.instagram.com/kanes_kitchenaffair/,https://influencers.feedspot.com/kenya_instagram_influencers/,2026-08-19,Creative food creator; source also references YouTube.
Hope Chebet,Kenya,,,Creator focused on food / hotels / travel.,Instagram,@kenyanfoodie_x,@kenyanfoodie_x,"107,000",,,,,,"107,000",,,,KES,Request quote / not publicly verified,,,https://www.instagram.com/kenyanfoodie_x/,https://influencers.feedspot.com/kenya_instagram_influencers/,2026-08-19,"Food, hotel, travel and lifestyle creator."
Najma Ali,Kenya,Mombasa,Mombasa,Creator focused on modest fashion / beauty / lifestyle.,Instagram,@_najmaali_,@_najmaali_,"54,500",,,,,,"54,500",,,,KES,Request quote / not publicly verified,,,https://www.instagram.com/_najmaali_/,https://influencers.feedspot.com/kenya_instagram_influencers/,2026-08-19,"Modest fashion, beauty and lifestyle creator."
Rhotimmi,Kenya,,,Creator focused on fitness / movement.,Instagram,@rhotimmi,@rhotimmi,"47,400",,,,,,"47,400",,,,KES,Request quote / not publicly verified,,,https://www.instagram.com/rhotimmi/,https://influencers.feedspot.com/kenya_instagram_influencers/,2026-08-19,Fitness and movement creator.
Monicah Wangari,Kenya,,,Creator focused on travel / adventure.,Instagram,@_themkare,@_themkare,"20,400",,,,,,"20,400",,,,KES,Request quote / not publicly verified,,,https://www.instagram.com/_themkare/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,Adventure storyteller and travel creator.
Abigal Njeri,Kenya,,,Creator focused on travel / lifestyle.,Instagram,@abigalabby,@abigalabby,"12,900",,,,,,"12,900",,,,KES,Request quote / not publicly verified,,,https://www.instagram.com/abigalabby/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,Travel and lifestyle creator.
Ess Opiyo,Kenya,,,Creator focused on travel / lifestyle.,Instagram,@ess_opiyo,@ess_opiyo,"10,600",,,,,,"10,600",,,,KES,Request quote / not publicly verified,,,https://www.instagram.com/ess_opiyo/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,Kenya-focused travel/lifestyle creator.
Fatma M,Kenya,Mombasa,Mombasa,Creator focused on travel / food / lifestyle.,Instagram,@pearlsandcinnamon,@pearlsandcinnamon,"23,200",,,,,,"23,200",,,,KES,Request quote / not publicly verified,,,https://www.instagram.com/pearlsandcinnamon/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,"Mombasa travel, food and lifestyle creator."
Ceccy,Kenya,,,Creator focused on travel / food.,Instagram,@travelwithceccy,@travelwithceccy,"14,800",,,,,,"14,800",,,,KES,Request quote / not publicly verified,,,https://www.instagram.com/travelwithceccy/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,Travel and food creator.
Omotolani Tayo-Osikoya,Nigeria,Lagos,Lagos,Creator focused on food / lifestyle.,Instagram,@diaryofakitchenlover,@diaryofakitchenlover,"2,200,000",,,,,,"2,200,000",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/diaryofakitchenlover/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,African food/lifestyle creator.
Ify Mogekwu,Nigeria,,,Creator focused on food.,Instagram,@ifys.kitchen,@ifys.kitchen,"2,100,000",,,,"800,000",,"2,900,000",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/ifys.kitchen/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Source bio reports 800K+ YouTube subscribers and 150M+ views; exact YT handle not exposed.
Hadiza Ibrahim Ango,Nigeria,Federal Capital Territory,Abuja,Creator focused on food.,Instagram,@chefamors,@chefamors,"1,200,000",,,,,,"1,200,000",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/chefamors/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Source also reports 1.8M+ Facebook followers and 140M YouTube views; views are not added to audience proxy.
Adepoju Grace,Nigeria,Lagos,Lagos,Creator focused on food.,Instagram,@velvetyfoodies,@velvetyfoodies,"780,900",,,,,,"780,900",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/velvetyfoodies/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food and recipe creator.
Bukie Akinmade,Nigeria,,,Creator focused on food.,Instagram,@thekitchenmuse,@thekitchenmuse,"760,300",,,,,,"760,300",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/thekitchenmuse/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food creator behind The Kitchen Muse.
Omoye Isabota,Nigeria,,,Creator focused on food.,Instagram,@omoyecooks,@omoyecooks,"689,000",,,,,,"689,000",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/omoyecooks/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food creator.
Faith Temitayo Oyebanjo,Nigeria,,,Creator focused on food.,Instagram,@cheftemmie,@cheftemmie,"437,000",,,,,,"437,000",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/cheftemmie/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Recipe and food creator.
Maryam Saidu Ibrahim,Nigeria,Katsina,Katsina,Creator focused on food.,Instagram,@chef.maah,@chef.maah,"435,000",,,,,,"435,000",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/chef.maah/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food creator.
Daniel Ochuko,Nigeria,Lagos,Lagos,Creator focused on food / lifestyle.,Instagram,@danielochuko_,@danielochuko_,"304,000",,,,,,"304,000",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/danielochuko_/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food-focused digital creator.
Jemimah Abisola,Nigeria,Federal Capital Territory,Abuja,Creator focused on food / restaurant discovery.,Instagram,@abujafoodplug,@abujafoodplug,"227,000",,,,,,"227,000",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/abujafoodplug/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Abuja food discovery creator.
Koko Osakwe,Nigeria,Rivers,Port Harcourt,Creator focused on food.,Instagram,@chefnshopper,@chefnshopper,"215,300",,,,,,"215,300",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/chefnshopper/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food creator.
Gaz Azah,Nigeria,,,Creator focused on food.,Instagram,@gazkitchen_,@gazkitchen_,"164,100",,,,,,"164,100",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/gazkitchen_/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Recipe creator.
Addie Ene-Ita,Nigeria,,,Creator focused on food.,Instagram,@thecorianderkitchen_ng,@thecorianderkitchen_ng,"96,300",,,,,,"96,300",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/thecorianderkitchen_ng/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food creator.
Cynthia (Your Food Girl),Nigeria,Lagos,Lagos,Creator focused on food / restaurant discovery.,Instagram,@yourfoodgirl_,@yourfoodgirl_,"82,400",,,,,,"82,400",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/yourfoodgirl_/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Lagos dining discovery creator.
Tai (Foodie in Lagos),Nigeria,Lagos,Lagos,Creator focused on food / travel.,Instagram,@foodieinlagos,@foodieinlagos,"72,900",,,,,,"72,900",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/foodieinlagos/,https://influencers.feedspot.com/nigerian_food_instagram_influencers/,2026-08-19,Food/travel creator.
Christiana Kayode,Nigeria,,,Creator focused on travel / fashion / lifestyle.,Instagram,@berbiedoll,@berbiedoll,"815,600",,,,,,"815,600",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/berbiedoll/,https://influencers.feedspot.com/nigeria_travel_instagram_influencers/,2026-08-19,"Travel, fashion and lifestyle creator."
Zim,Nigeria,,,Creator focused on travel / photography.,Instagram,@zimeee,@zimeee,"528,100",,,,,,"528,100",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/zimeee/,https://influencers.feedspot.com/nigeria_travel_instagram_influencers/,2026-08-19,Travel curator and photographer.
Pelumi Nubi,Nigeria,Lagos,Lagos,Creator focused on travel / adventure.,Instagram,@pelumi.nubi,@pelumi.nubi,"282,600",,,,,,"282,600",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/pelumi.nubi/,https://influencers.feedspot.com/nigeria_travel_instagram_influencers/,2026-08-19,Road-trip and destination storyteller.
Tosin Oyewole,Nigeria,Lagos,Lagos,Creator focused on travel / destination storytelling.,Instagram,@tosinoyewole,@tosinoyewole,"148,300",,,,,,"148,300",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/tosinoyewole/,https://influencers.feedspot.com/nigeria_travel_instagram_influencers/,2026-08-19,Destination storyteller.
Adenike Tejuoso,Nigeria,,,Creator focused on travel.,Instagram,@adenikair,@adenikair,"124,500",,,,,,"124,500",,,,NGN,Request quote / not publicly verified,,,https://www.instagram.com/adenikair/,https://influencers.feedspot.com/nigeria_travel_instagram_influencers/,2026-08-19,Travel creator.
Grace Mondlana,South Africa,,,Creator focused on food / lifestyle.,Instagram,@grace._mondlana,@grace._mondlana,"810,100",,,,,,"810,100",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/grace._mondlana/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Multi-award-winning food/lifestyle content creator.
Tokologo Hlongwane,South Africa,,,Creator focused on food / catering.,Instagram,@catering_bae,@catering_bae,"478,000",,,,,,"478,000",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/catering_bae/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food/catering creator.
Neo Nontso,South Africa,,,Creator focused on food.,Instagram,@dinewithneo,@dinewithneo,"415,700",,,,,,"415,700",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/dinewithneo/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food creator.
Zanele Mvelase,South Africa,,,Creator focused on food / hospitality.,Instagram,@zee_thecook,@zee_thecook,"398,300",,,,,,"398,300",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/zee_thecook/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food creator.
Rohann Chetty,South Africa,,,Creator focused on food / family lifestyle.,Instagram,@thisbrownmom,@thisbrownmom,"377,700",,,,,,"377,700",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/thisbrownmom/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food/family creator.
Sinoyolo Sifo,South Africa,KwaZulu-Natal,Durban,Creator focused on food / lifestyle.,Instagram,@sifo_the_cooking_husband,@sifo_the_cooking_husband,"305,200",,,,,,"305,200",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/sifo_the_cooking_husband/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food/lifestyle creator.
Thilivhali Mash Mugwena,South Africa,,,Creator focused on food.,Instagram,@meals_with_mash_,@meals_with_mash_,"301,800",,,,,,"301,800",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/meals_with_mash_/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food creator; profile references Cape Town/Johannesburg.
Onezwa Mbola,South Africa,,,Creator focused on food / sustainable living.,Instagram,@onezwambola,@onezwambola,"273,000",,,,,,"273,000",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/onezwambola/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food and ingredient-driven living creator.
Pearl Sechele,South Africa,,,Creator focused on food.,Instagram,@theeprettychef,@theeprettychef,"268,500",,,,,,"268,500",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/theeprettychef/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food creator.
Nthabi,South Africa,,,Creator focused on food.,Instagram,@cooking_with_nthabi,@cooking_with_nthabi,"268,100",,,,,,"268,100",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/cooking_with_nthabi/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Recipe creator.
Thembeka Sibanyoni,South Africa,,,Creator focused on food.,Instagram,@tees_cooking_addiction,@tees_cooking_addiction,"252,400",,,,,,"252,400",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/tees_cooking_addiction/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Cooking creator.
Tumi M,South Africa,Gauteng,Johannesburg,Creator focused on food.,Instagram,@mealswithtumi,@mealswithtumi,"180,700",,,,,,"180,700",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/mealswithtumi/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food creator.
Luyanda Mafanya,South Africa,Gauteng,Johannesburg,Creator focused on food.,Instagram,@cookingwithluyanda,@cookingwithluyanda,"152,800",,,,,,"152,800",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/cookingwithluyanda/,https://influencers.feedspot.com/south_african_food_instagram_influencers/,2026-08-19,Food creator.
Carlinn Meyer,South Africa,Western Cape,Cape Town,Creator focused on travel / hotels.,Instagram,@campsbaygirl,@campsbaygirl,"319,800",,,,,,"319,800",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/campsbaygirl/,https://influencers.feedspot.com/south_african_travel_instagram_influencers/,2026-08-19,Travel/hotel creator.
Michael Eloff,South Africa,,,Creator focused on travel / lifestyle.,Instagram,@lifeofmikeza,@lifeofmikeza,"101,200",,,,,,"101,200",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/lifeofmikeza/,https://influencers.feedspot.com/south_african_travel_instagram_influencers/,2026-08-19,Travel/lifestyle creator.
Chelsea Knipp,South Africa,Western Cape,Cape Town,Creator focused on travel / food / experiences.,Instagram,@travel.drink.eat.play,@travel.drink.eat.play,"92,000",,,,,,"92,000",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/travel.drink.eat.play/,https://influencers.feedspot.com/south_african_travel_instagram_influencers/,2026-08-19,Travel/food experiences creator.
Shiv Sewlal,South Africa,Western Cape,Cape Town,Creator focused on beauty / lifestyle / wellness.,Instagram,@shivaika,@shivaika,"337,700",,,,,,"337,700",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/shivaika/,https://influencers.feedspot.com/african_beauty_instagram_influencers/,2026-08-19,Beauty/lifestyle creator.
Solina Naidoo,South Africa,KwaZulu-Natal,Durban,Creator focused on food / lifestyle.,Instagram,@perimas_kitchen,@perimas_kitchen,"37,400",,"220,000",,,,"257,400",,,,ZAR,Request quote / not publicly verified,,,https://www.instagram.com/perimas_kitchen/,https://influencers.feedspot.com/south__african_lifestyle_instagram_influencers/,2026-08-19,Source bio reports 220K TikTok followers but exact TikTok handle is not exposed.
Chef Abbys,Ghana,,,Creator focused on food.,Instagram,@chefabbys,@chefabbys,"703,000",,,,,,"703,000",,,,GHS,Request quote / not publicly verified,,,https://www.instagram.com/chefabbys/,https://influencers.feedspot.com/african_food_instagram_influencers/,2026-08-19,African food creator.
Wode Maya,Ghana,,,Creator focused on travel / africa storytelling.,Instagram,@mrghanababy,@mrghanababy,"385,300",,,,,,"385,300",,,,GHS,Request quote / not publicly verified,,,https://www.instagram.com/mrghanababy/,https://influencers.feedspot.com/african_male_travel_instagram_influencers/,2026-08-19,Travel vlogger and Africa storyteller.
Essie,Ghana,,,Creator focused on food.,Instagram,@essiespice,@essiespice,"31,200",,,,,,"31,200",,,,GHS,Request quote / not publicly verified,,,https://www.instagram.com/essiespice/,https://influencers.feedspot.com/african_food_instagram_influencers/,2026-08-19,Food creator.
Khadijah Khalid,Ghana,,,Creator focused on food / lifestyle.,Instagram,@khadijahkhalidgh,@khadijahkhalidgh,"91,600",,"190,000",,,,"281,600",,,,GHS,Request quote / not publicly verified,,,https://www.instagram.com/khadijahkhalidgh/,https://www.modash.io/find-influencers/ghana/food,2026-07-13,Source bio reports 190K+ TikTok followers; exact TT handle not exposed.
Dancegod Lloyd,Ghana,,,Creator focused on dance / choreography.,Instagram,@dancegodlloyd,@dancegodlloyd,"2,300,000",,,,,,"2,300,000",,9.63%,,GHS,Request quote / not publicly verified,,,https://www.instagram.com/dancegodlloyd/,https://hafi.pro/top/most-followed-instagram/ghana,2026-08-12,Dance/choreography content creator.
Afronitaaa,Ghana,,,Creator focused on dance / lifestyle.,TikTok,@afronitaaa,,,@afronitaaa,"7,000,000",@afronitaaa,"575,500",,"7,575,500",,20.04%,,GHS,Request quote / not publicly verified,,,https://www.tiktok.com/@afronitaaa,https://hafi.pro/top/most-followed-tiktok/ghana,2026-08-13,YouTube count cross-referenced from Hafi Ghana YouTube ranking (2026-08-12).
Kwadwo Sheldon Studios,Ghana,,,Creator focused on commentary / digital media.,YouTube,@kwadwosheldonstudios,,,,,@kwadwosheldonstudios,"833,100",,"833,100",,6.87%,,GHS,Request quote / not publicly verified,,,https://www.youtube.com/@kwadwosheldonstudios,https://hafi.pro/top/most-followed-youtube/ghana,2026-08-12,Digital commentary creator brand.
Erkuah Official,Ghana,,,Creator focused on comedy / lifestyle short-form.,TikTok,@erkuahofficial,,,@erkuahofficial,"6,600,000",,,,"6,600,000",,,,GHS,Request quote / not publicly verified,,,https://www.tiktok.com/@erkuahofficial,https://hafi.pro/top/most-followed-tiktok/ghana,2026-08-13,Short-form creator.
Angella Summer Namubiru,Uganda,,,Creator focused on lifestyle / culture.,Instagram,@angelasummernamubiru,@angelasummernamubiru,"826,300",,"6,000,000",,,,"6,826,300",,,,UGX,Request quote / not publicly verified,,,https://www.instagram.com/angelasummernamubiru/,https://influencers.feedspot.com/uganda_instagram_influencers/,2026-08-19,Source bio reports ~6M TikTok followers; exact TikTok handle not exposed.
Nadia Matovu,Uganda,,,Creator focused on family / lifestyle / business.,Instagram,@mrs.matovu,@mrs.matovu,"192,900",,,,,,"192,900",,,,UGX,Request quote / not publicly verified,,,https://www.instagram.com/mrs.matovu/,https://influencers.feedspot.com/uganda_instagram_influencers/,2026-08-19,Family/lifestyle creator.
Methia Lydia Nabawanda,Uganda,,,Creator focused on lifestyle.,Instagram,@methia_lydia_nabawanda,@methia_lydia_nabawanda,"168,400",,,,,,"168,400",,,,UGX,Request quote / not publicly verified,,,https://www.instagram.com/methia_lydia_nabawanda/,https://influencers.feedspot.com/uganda_instagram_influencers/,2026-08-19,Lifestyle creator.
Lucy Bunyenyezi,Uganda,,,Creator focused on travel / food / lifestyle.,Instagram,@lucy_smize,@lucy_smize,"185,600",,,,,,"185,600",,,,UGX,Request quote / not publicly verified,,,https://www.instagram.com/lucy_smize/,https://influencers.feedspot.com/uganda_instagram_influencers/,2026-08-19,Visual storyteller.
Catherine Nagawa,Uganda,,,Creator focused on tech / lifestyle.,Instagram,@catherine_nagawa,@catherine_nagawa,"85,400",,,,,,"85,400",,,,UGX,Request quote / not publicly verified,,,https://www.instagram.com/catherine_nagawa/,https://influencers.feedspot.com/uganda_instagram_influencers/,2026-08-19,Tech/lifestyle creator.
Cindy Zeta Bukenya,Uganda,Central Region,Kampala,Creator focused on travel / food / lifestyle.,Instagram,@zeta_bukenya,@zeta_bukenya,"19,100",,,,,,"19,100",,,,UGX,Request quote / not publicly verified,,,https://www.instagram.com/zeta_bukenya/,https://influencers.feedspot.com/uganda_instagram_influencers/,2026-08-19,Visual storyteller.
Zawedde Patricia,Uganda,,,Creator focused on lifestyle / travel / fashion.,Instagram,@zawedde_patricia,@zawedde_patricia,"16,800",,,,,,"16,800",,,,UGX,Request quote / not publicly verified,,,https://www.instagram.com/zawedde_patricia/,https://influencers.feedspot.com/uganda_instagram_influencers/,2026-08-19,Lifestyle/travel/fashion YouTuber/creator.
Rachael Nalumu,Uganda,,,Creator focused on african lifestyle.,Instagram,@rachaelnalumu,@rachaelnalumu,"14,200",,,,,,"14,200",,,,UGX,Request quote / not publicly verified,,,https://www.instagram.com/rachaelnalumu/,https://influencers.feedspot.com/uganda_instagram_influencers/,2026-08-19,Lifestyle creator; source also references YouTube.
Klaudia Kaliisa,Uganda,Central Region,Kampala,Creator focused on fitness / nutrition / wellness.,Instagram,@klaudia_adamiecc,@klaudia_adamiecc,"13,400",,,,,,"13,400",,,,UGX,Request quote / not publicly verified,,,https://www.instagram.com/klaudia_adamiecc/,https://influencers.feedspot.com/uganda_instagram_influencers/,2026-08-19,Fitness/wellness creator.
